step,step_time_s,total_time_s,ALLKE,ALLIE,ALLAE,ALLVD,ALLKE_over_abs_ALLIE
Holding,0.07500064373016357,0.1750006452202797,2.50809080171166e-08,0.002406539861112833,0.0016887186793610454,5.4109274060465395e-05,1.0421979050668488e-05
Holding,0.076500803232193,0.1765008047223091,9.986796101202344e-08,0.002406238578259945,0.001689166878350079,5.410947778727859e-05,4.1503765218593696e-05
Holding,0.0780000239610672,0.17800002545118332,1.5941068909341993e-07,0.0024063121527433395,0.0016889596590772271,5.4109688790049404e-05,6.624688692681963e-05
Holding,0.07950018346309662,0.17950018495321274,1.2789237757715455e-07,0.0024063880555331707,0.001688940217718482,5.410988524090499e-05,5.314702974987054e-05
Holding,0.08100034296512604,0.18100034445524216,5.063709096475577e-08,0.0024062814190983772,0.0016892484854906797,5.411005986388773e-05,2.104371108169437e-05
Holding,0.08250050246715546,0.18250050395727158,2.1846277675763304e-08,0.0024065205361694098,0.0016888451064005494,5.411021629697643e-05,9.07795190085401e-06
Holding,0.08400066196918488,0.184000663459301,6.626747506288666e-08,0.0024062604643404484,0.00168923893943429,5.411035817814991e-05,2.753961013154511e-05
Holding,0.0855008214712143,0.1855008229613304,1.1670348953884968e-07,0.0024063081946223974,0.0016890396364033222,5.4110507335281e-05,4.8498978559628364e-05
Holding,0.0870000422000885,0.18700004369020462,1.0548359341555624e-07,0.0024063363671302795,0.0016890313709154725,5.4110649216454476e-05,4.3835764133570665e-05
Holding,0.08850020170211792,0.18850020319223404,4.6346595894419806e-08,0.002406283048912883,0.0016892984276637435,5.41107656317763e-05,1.9260658431417036e-05
Holding,0.09000036120414734,0.19000036269426346,1.1104151376173377e-08,0.0024065107572823763,0.0016889607068151236,5.411087113316171e-05,4.614212233446681e-06
Holding,0.09150052070617676,0.19150052219629288,4.2810437861362516e-08,0.0024062953889369965,0.0016893143765628338,5.411095844465308e-05,1.779101520876638e-05
Holding,0.09300068020820618,0.1930006816983223,9.299364478465577e-08,0.002406337531283498,0.0016891340492293239,5.411105667008087e-05,3.864530373469869e-05
Holding,0.0945008397102356,0.19450084120035172,8.564147435663472e-08,0.0024063216987997293,0.0016891313716769218,5.4111136705614626e-05,3.559020159247726e-05
