step,step_time_s,total_time_s,rp_u3_mm,rp_rf3_N,insertion_depth_mm,pullout_displacement_mm,pullout_resistance_N,absolute_force_N
Insertion,0.05000027269124985,0.05000027269124985,-0.43001389503479004,-1.7431800358735927e-07,0.43001389503479004,0.0,0.0,1.7431800358735927e-07
Insertion,0.050625257194042206,0.050625257194042206,-0.446524441242218,-1.6474233177632414e-07,0.446524441242218,0.0,0.0,1.6474233177632414e-07
Insertion,0.051250241696834564,0.051250241696834564,-0.4632927179336548,-1.5491124827349267e-07,0.4632927179336548,0.0,0.0,1.5491124827349267e-07
Insertion,0.051875658333301544,0.051875658333301544,-0.4802761673927307,-0.00011861292296089232,0.4802761673927307,0.0,0.0,0.00011861292296089232
Insertion,0.05250087380409241,0.05250087380409241,-0.49749815464019775,-0.0005307520623318851,0.49749815464019775,0.0,0.0,0.0005307520623318851
Insertion,0.05312594026327133,0.05312594026327133,-0.5149433612823486,-0.0009777998784556985,0.5149433612823486,0.0,0.0,0.0009777998784556985
Insertion,0.05375088378787041,0.05375088378787041,-0.5325449705123901,-0.0008527495665475726,0.5325449705123901,0.0,0.0,0.0008527495665475726
Insertion,0.05437527969479561,0.05437527969479561,-0.5503301620483398,-0.0011248706141486764,0.5503301620483398,0.0,0.0,0.0011248706141486764
Insertion,0.05500034615397453,0.05500034615397453,-0.5682834386825562,-0.0016199692618101835,0.5682834386825562,0.0,0.0,0.0016199692618101835
Insertion,0.05562541261315346,0.05562541261315346,-0.5863799452781677,-0.0020531155169010162,0.5863799452781677,0.0,0.0,0.0020531155169010162
Insertion,0.05625047907233238,0.05625047907233238,-0.6046063899993896,-0.0025817903224378824,0.6046063899993896,0.0,0.0,0.0025817903224378824
Insertion,0.05687509477138519,0.05687509477138519,-0.6229338645935059,-0.0027349197771400213,0.6229338645935059,0.0,0.0,0.0027349197771400213
Insertion,0.057500209659338,0.057500209659338,-0.6413629651069641,-0.0028412356041371822,0.6413629651069641,0.0,0.0,0.0028412356041371822
Insertion,0.05812576040625572,0.05812576040625572,-0.6598739624023438,-0.0033613473642617464,0.6598739624023438,0.0,0.0,0.0033613473642617464
Insertion,0.058750834316015244,0.058750834316015244,-0.6784254312515259,-0.003769997274503112,0.6784254312515259,0.0,0.0,0.003769997274503112
Insertion,0.05937549099326134,0.05937549099326134,-0.6969963312149048,-0.004301887936890125,0.6969963312149048,0.0,0.0,0.004301887936890125
Insertion,0.060000307857990265,0.060000307857990265,-0.7155942320823669,-0.004453177563846111,0.7155942320823669,0.0,0.0,0.004453177563846111
Insertion,0.060625266283750534,0.060625266283750534,-0.7341951727867126,-0.005008158273994923,0.7341951727867126,0.0,0.0,0.005008158273994923
Insertion,0.06125069037079811,0.06125069037079811,-0.7527943849563599,-0.0055252606980502605,0.7527943849563599,0.0,0.0,0.0055252606980502605
Insertion,0.06187523528933525,0.06187523528933525,-0.7713308930397034,-0.005996282212436199,0.7713308930397034,0.0,0.0,0.005996282212436199
Insertion,0.0625007376074791,0.0625007376074791,-0.7898382544517517,-0.006918301805853844,0.7898382544517517,0.0,0.0,0.006918301805853844
Insertion,0.06312546133995056,0.06312546133995056,-0.8082495331764221,-0.007512334734201431,0.8082495331764221,0.0,0.0,0.007512334734201431
Insertion,0.06375046819448471,0.06375046819448471,-0.8265838623046875,-0.00789711158722639,0.8265838623046875,0.0,0.0,0.00789711158722639
Insertion,0.0643756315112114,0.0643756315112114,-0.8448008298873901,-0.008362578228116035,0.8448008298873901,0.0,0.0,0.008362578228116035
Insertion,0.0650007426738739,0.0650007426738739,-0.8629194498062134,-0.009080088697373867,0.8629194498062134,0.0,0.0,0.009080088697373867
Insertion,0.06562524288892746,0.06562524288892746,-0.8808220028877258,-0.009622345678508282,0.8808220028877258,0.0,0.0,0.009622345678508282
Insertion,0.0662505254149437,0.0662505254149437,-0.8986156582832336,-0.010296838358044624,0.8986156582832336,0.0,0.0,0.010296838358044624
Insertion,0.06687569618225098,0.06687569618225098,-0.9162441492080688,-0.010708999820053577,0.9162441492080688,0.0,0.0,0.010708999820053577
Insertion,0.06750006228685379,0.06750006228685379,-0.9336494207382202,-0.01147144939750433,0.9336494207382202,0.0,0.0,0.01147144939750433
Insertion,0.06812503188848495,0.06812503188848495,-0.9508567452430725,-0.01255273912101984,0.9508567452430725,0.0,0.0,0.01255273912101984
Insertion,0.06875041872262955,0.06875041872262955,-0.9678335189819336,-0.013348416425287724,0.9678335189819336,0.0,0.0,0.013348416425287724
Insertion,0.06937574595212936,0.06937574595212936,-0.9845808744430542,-0.014131897129118443,0.9845808744430542,0.0,0.0,0.014131897129118443
Insertion,0.07000003010034561,0.07000003010034561,-1.001055359840393,-0.015194683335721493,1.001055359840393,0.0,0.0,0.015194683335721493
Insertion,0.07062537968158722,0.07062537968158722,-1.0172889232635498,-0.015901712700724602,1.0172889232635498,0.0,0.0,0.015901712700724602
Insertion,0.07125049084424973,0.07125049084424973,-1.0332188606262207,-0.01678781770169735,1.0332188606262207,0.0,0.0,0.01678781770169735
Insertion,0.07187527418136597,0.07187527418136597,-1.0488190650939941,-0.017775513231754303,1.0488190650939941,0.0,0.0,0.017775513231754303
Insertion,0.0725005567073822,0.0725005567073822,-1.064162015914917,-0.01853424496948719,1.064162015914917,0.0,0.0,0.01853424496948719
Insertion,0.07312506437301636,0.07312506437301636,-1.0791304111480713,-0.01937672682106495,1.0791304111480713,0.0,0.0,0.01937672682106495
Insertion,0.07375023514032364,0.07375023514032364,-1.0937834978103638,-0.02060617506504059,1.0937834978103638,0.0,0.0,0.02060617506504059
Insertion,0.07437541335821152,0.07437541335821152,-1.108100414276123,-0.02142420969903469,1.108100414276123,0.0,0.0,0.02142420969903469
Insertion,0.07500011473894119,0.07500011473894119,-1.1220247745513916,-0.022193599492311478,1.1220247745513916,0.0,0.0,0.022193599492311478
Insertion,0.07562541961669922,0.07562541961669922,-1.1355743408203125,-0.02333810180425644,1.1355743408203125,0.0,0.0,0.02333810180425644
Insertion,0.0762505903840065,0.0762505903840065,-1.1487693786621094,-0.024034583941102028,1.1487693786621094,0.0,0.0,0.024034583941102028
Insertion,0.07687557488679886,0.07687557488679886,-1.161548137664795,-0.024383164942264557,1.161548137664795,0.0,0.0,0.024383164942264557
Insertion,0.07750020921230316,0.07750020921230316,-1.173898458480835,-0.024515070021152496,1.173898458480835,0.0,0.0,0.024515070021152496
Insertion,0.07812526077032089,0.07812526077032089,-1.185868501663208,-0.022688178345561028,1.185868501663208,0.0,0.0,0.022688178345561028
Insertion,0.07875041663646698,0.07875041663646698,-1.1974101066589355,-0.010211823508143425,1.1974101066589355,0.0,0.0,0.010211823508143425
Insertion,0.0793750062584877,0.0793750062584877,-1.2085139751434326,-0.006003741640597582,1.2085139751434326,0.0,0.0,0.006003741640597582
Insertion,0.08000006526708603,0.08000006526708603,-1.2191948890686035,-0.01045320089906454,1.2191948890686035,0.0,0.0,0.01045320089906454
Insertion,0.08062516152858734,0.08062516152858734,-1.2294453382492065,-0.012689887546002865,1.2294453382492065,0.0,0.0,0.012689887546002865
Insertion,0.08125039935112,0.08125039935112,-1.2392507791519165,-0.008429405279457569,1.2392507791519165,0.0,0.0,0.008429405279457569
Insertion,0.08187516033649445,0.08187516033649445,-1.2486029863357544,-0.011670881882309914,1.2486029863357544,0.0,0.0,0.011670881882309914
Insertion,0.08250029385089874,0.08250029385089874,-1.2575225830078125,-0.012375443242490292,1.2575225830078125,0.0,0.0,0.012375443242490292
Insertion,0.08312562853097916,0.08312562853097916,-1.2660040855407715,-0.009537776000797749,1.2660040855407715,0.0,0.0,0.009537776000797749
Insertion,0.08375055342912674,0.08375055342912674,-1.274026870727539,-0.012633598409593105,1.274026870727539,0.0,0.0,0.012633598409593105
Insertion,0.08437560498714447,0.08437560498714447,-1.281598687171936,-0.012511461041867733,1.281598687171936,0.0,0.0,0.012511461041867733
Insertion,0.08500015735626221,0.08500015735626221,-1.2887226343154907,-0.009060961194336414,1.2887226343154907,0.0,0.0,0.009060961194336414
Insertion,0.08562532067298889,0.08562532067298889,-1.2954137325286865,-0.00414697639644146,1.2954137325286865,0.0,0.0,0.00414697639644146
Insertion,0.08625047653913498,0.08625047653913498,-1.3016657829284668,-0.003747669979929924,1.3016657829284668,0.0,0.0,0.003747669979929924
Insertion,0.0868750512599945,0.0868750512599945,-1.3074731826782227,-0.0030941942241042852,1.3074731826782227,0.0,0.0,0.0030941942241042852
Insertion,0.08750008046627045,0.08750008046627045,-1.3128662109375,-0.003232221817597747,1.3128662109375,0.0,0.0,0.003232221817597747
Insertion,0.0881257951259613,0.0881257951259613,-1.3178300857543945,-0.0037031949032098055,1.3178300857543945,0.0,0.0,0.0037031949032098055
Insertion,0.08875003457069397,0.08875003457069397,-1.3223772048950195,-0.0030580153688788414,1.3223772048950195,0.0,0.0,0.0030580153688788414
